                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88424,                 1.4239,                  2.695,                0.96272,                0.98263,                0.20261,                0.32418,                0.25953,                 0.9825,                0.20268,                0.32559,                0.25122,                0.81898,                 1.0837,                 1.9604,                 0.8689,                0.07037,              0.0032922,              0.0032922
                      1,                0.79463,                  1.065,                 1.0806,                0.90585,                0.57848,                0.54181,                 0.5591,                0.37874,                 0.5703,                0.52766,                0.53257,                0.34354,                0.81479,                 1.0589,                 1.0824,                0.89841,               0.040357,              0.0066124,              0.0066124
                      2,                0.84424,                 1.0301,                0.91814,                0.92816,                0.60741,                0.63023,                0.59572,                0.40044,                0.59932,                0.62956,                0.58601,                0.37472,                0.84412,                 1.1511,                0.87645,                0.91121,               0.010331,              0.0099194,              0.0099194
                      3,                0.87302,                 1.0509,                0.87819,                0.93411,                0.62457,                0.55148,                0.55796,                0.34668,                0.57709,                0.51585,                0.50875,                 0.3196,                 1.0052,                 1.3918,                 1.1482,                 1.0002,              0.0099406,              0.0099406,              0.0099406
                      4,                0.86699,                 1.0329,                0.79974,                0.93967,                0.69917,                0.63324,                0.63379,                0.42319,                 0.6984,                0.63044,                0.62372,                0.39123,                0.87401,                 1.2044,                0.81154,                0.93608,              0.0099406,              0.0099406,              0.0099406
                      5,                0.85319,                  1.037,                0.79996,                 0.9304,                0.66971,                0.62605,                0.60999,                0.40835,                0.66895,                0.62816,                0.61097,                0.38226,                0.87409,                 1.1502,                0.80274,                0.94284,              0.0099208,              0.0099208,              0.0099208
                      6,                  0.837,                0.98681,                0.74614,                0.92671,                0.79971,                0.64247,                0.68408,                0.46339,                0.77203,                0.63766,                0.66237,                0.41183,                 0.8025,                 1.1843,                0.74474,                0.92358,               0.009901,               0.009901,               0.009901
                      7,                0.82686,                0.97869,                0.72005,                0.92159,                0.73816,                0.68296,                0.69199,                0.46824,                0.72721,                0.66602,                0.66726,                0.40589,                0.79171,                 1.0852,                0.68711,                0.90789,              0.0098812,              0.0098812,              0.0098812
                      8,                0.81039,                0.96258,                0.68522,                0.91872,                0.75424,                0.70265,                0.68242,                0.44041,                0.72464,                0.66877,                0.64761,                 0.3888,                0.82908,                 1.0864,                0.67802,                0.90998,              0.0098614,              0.0098614,              0.0098614
                      9,                0.80175,                0.94169,                0.65859,                0.91502,                 0.8231,                 0.6791,                0.70346,                0.46149,                0.79287,                0.65884,                0.66765,                0.38869,                0.81242,                 1.1135,                0.65624,                0.92061,              0.0098416,              0.0098416,              0.0098416
