                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.71785,                0.96118,                0.55052,                0.96984,                0.78317,                  0.741,                0.73417,                0.51255,                0.73044,                0.68719,                0.67828,                0.43346,                0.71067,                 1.0099,                 0.5206,                 0.9051,              0.0095446,              0.0095446,              0.0095446
                     25,                0.70656,                0.93596,                0.54657,                0.96334,                0.70776,                0.70145,                0.69175,                0.47855,                0.67045,                0.68009,                0.65249,                0.40817,                0.68312,                0.95274,                0.55621,                0.89873,              0.0095248,              0.0095248,              0.0095248
                     26,                0.70951,                0.94023,                0.54047,                 0.9663,                0.78353,                0.68924,                0.70634,                 0.4917,                0.74736,                0.66055,                0.66243,                0.41048,                0.70561,                 1.0838,                0.55296,                0.90552,               0.009505,               0.009505,               0.009505
                     27,                0.70511,                0.94473,                0.54544,                0.96375,                0.76202,                 0.7267,                 0.7279,                0.50209,                0.72936,                0.70459,                0.69634,                0.44478,                0.71653,                0.95576,                0.53543,                0.90902,              0.0094852,              0.0094852,              0.0094852
                     28,                 0.7086,                0.94097,                0.53996,                0.96548,                 0.7568,                0.75766,                0.73777,                0.50031,                0.71434,                0.72247,                0.69112,                0.42374,                0.71396,                0.90769,                0.49514,                0.90068,              0.0094654,              0.0094654,              0.0094654
                     29,                0.71032,                0.94856,                 0.5296,                0.97161,                0.77356,                0.74262,                0.73407,                0.50768,                0.74173,                0.69189,                0.67992,                0.43503,                0.68391,                0.91978,                0.49067,                0.89368,              0.0094456,              0.0094456,              0.0094456
                     30,                0.69526,                 0.9274,                0.52152,                0.95907,                0.76489,                0.69321,                0.70477,                0.49264,                0.74307,                0.67889,                0.67206,                0.42818,                0.67893,                0.93971,                0.51971,                0.89413,              0.0094258,              0.0094258,              0.0094258
                     31,                 0.6998,                0.93029,                0.52172,                 0.9621,                0.78749,                0.74491,                0.73426,                0.51675,                0.75355,                0.71389,                0.70235,                0.44637,                 0.6702,                0.94591,                0.47838,                0.88441,               0.009406,               0.009406,               0.009406
                     32,                0.69183,                0.91608,                0.51498,                 0.9597,                0.71813,                0.73955,                0.71664,                 0.5067,                0.67729,                0.71006,                0.68379,                0.42595,                0.66479,                0.91264,                0.52737,                0.88634,              0.0093862,              0.0093862,              0.0093862
                     33,                0.67924,                0.89741,                0.50869,                0.95619,                0.76953,                0.71897,                0.71234,                0.49017,                0.73768,                0.69348,                0.68122,                0.42096,                0.71573,                0.96342,                0.51875,                0.89914,              0.0093664,              0.0093664,              0.0093664
                     34,                0.67304,                0.89905,                0.50759,                0.95902,                0.79154,                0.73511,                0.72113,                0.49807,                0.77612,                0.70851,                0.69024,                0.42838,                0.69993,                0.90567,                0.52153,                0.90154,              0.0093466,              0.0093466,              0.0093466
                     35,                0.68493,                0.90276,                0.50312,                0.96261,                0.79699,                0.72639,                0.71085,                 0.4952,                0.75214,                0.71504,                0.68325,                0.42347,                0.71156,                0.96293,                0.50847,                0.89688,              0.0093268,              0.0093268,              0.0093268
                     36,                0.68556,                0.91694,                0.50026,                0.95974,                0.78023,                0.73028,                0.73371,                0.50075,                0.74316,                0.69186,                0.68621,                0.42437,                0.69678,                0.89946,                0.47322,                 0.8889,               0.009307,               0.009307,               0.009307
