                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.73227,                0.94927,                0.53139,                0.92002,                0.79404,                0.74175,                 0.7455,                0.51541,                0.76375,                0.71927,                0.71374,                0.44044,                 0.7316,                0.96036,                0.49497,                0.89786,              0.0095446,              0.0095446,              0.0095446
                     25,                0.73179,                0.95097,                0.53912,                0.91717,                0.74764,                0.72066,                0.71157,                0.48366,                0.72506,                0.69823,                0.67706,                0.44328,                0.72422,                0.91147,                0.51736,                0.89033,              0.0095248,              0.0095248,              0.0095248
                     26,                0.72134,                0.93994,                0.52004,                0.91058,                0.79021,                0.68951,                0.71399,                0.48671,                 0.7797,                0.64532,                0.67438,                0.43605,                0.74481,                0.96202,                0.52531,                0.89483,               0.009505,               0.009505,               0.009505
                     27,                 0.7236,                0.95763,                0.52334,                0.91015,                0.75689,                  0.748,                0.73199,                0.50562,                0.71507,                0.70907,                0.68945,                0.42875,                0.72724,                0.95632,                 0.4941,                0.90004,              0.0094852,              0.0094852,              0.0094852
                     28,                0.72591,                0.94444,                0.52044,                0.91306,                 0.7983,                0.69566,                0.71178,                0.50648,                 0.7549,                0.66048,                0.66725,                0.43353,                0.68686,                0.95596,                0.50434,                0.88236,              0.0094654,              0.0094654,              0.0094654
                     29,                0.72184,                0.95366,                0.51656,                0.91601,                0.78078,                0.71514,                0.71334,                0.48699,                0.76445,                 0.6765,                0.67501,                0.41727,                0.71049,                 1.0302,                0.49078,                  0.893,              0.0094456,              0.0094456,              0.0094456
                     30,                0.70591,                0.91091,                0.51442,                0.90569,                0.76071,                0.74306,                0.74654,                0.51241,                0.72788,                0.71663,                 0.7144,                0.42838,                 0.7132,                0.92944,                0.48769,                0.89706,              0.0094258,              0.0094258,              0.0094258
                     31,                0.71456,                0.91193,                0.52247,                0.91127,                0.82931,                0.68008,                0.72296,                0.51472,                0.81013,                0.67204,                0.69509,                0.44038,                0.71395,                0.95904,                0.49527,                0.88965,               0.009406,               0.009406,               0.009406
                     32,                0.70915,                 0.9259,                0.50163,                0.90124,                0.84547,                0.69411,                0.73368,                0.51725,                 0.8172,                0.67402,                0.71068,                0.44254,                0.69817,                0.91542,                0.47435,                0.88425,              0.0093862,              0.0093862,              0.0093862
                     33,                0.71189,                0.91176,                0.50315,                 0.9061,                0.83151,                0.72725,                0.73864,                0.50892,                 0.7854,                0.70305,                0.69508,                0.43796,                 0.7226,                0.91818,                0.50431,                0.88762,              0.0093664,              0.0093664,              0.0093664
