                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86126,                  1.586,                 2.9416,                 1.0432,                0.93994,                0.23576,                0.34459,                0.26181,                0.93994,                0.23576,                0.34472,                0.25994,                 0.8282,                  1.062,                  2.064,                0.88141,                0.07037,              0.0032922,              0.0032922
                      1,                0.84143,                 1.0588,                 1.1545,                0.96937,                0.58535,                0.47212,                0.50868,                0.36155,                0.58535,                0.47212,                0.51171,                0.34821,                0.78429,                 1.0548,                  1.125,                0.89728,               0.040357,              0.0066124,              0.0066124
                      2,                 0.8372,                 1.0398,                0.90387,                0.98659,                 0.6204,                0.51522,                 0.5488,                0.37715,                0.60089,                0.50899,                0.53274,                0.35012,                0.82457,                 1.1133,                0.98588,                 0.9281,               0.010331,              0.0099194,              0.0099194
                      3,                0.85063,                 1.0811,                0.88585,                 1.0118,                0.60862,                0.63733,                0.56994,                0.39303,                0.59638,                0.64759,                0.55952,                0.36151,                0.83458,                 1.0733,                 0.8633,                0.93367,              0.0099406,              0.0099406,              0.0099406
                      4,                0.84926,                 1.0112,                0.82743,                 1.0119,                0.61159,                 0.6972,                0.62028,                0.41896,                0.60205,                0.68908,                0.60495,                0.39676,                 0.8283,                 1.1181,                0.84582,                0.94312,              0.0099406,              0.0099406,              0.0099406
                      5,                0.83143,                 1.0282,                0.78866,                 1.0126,                0.72812,                0.62194,                0.65126,                0.44481,                0.75183,                0.58527,                0.61256,                0.38582,                0.75488,                 1.1213,                0.74684,                0.89638,              0.0099208,              0.0099208,              0.0099208
                      6,                0.81954,                 1.0159,                0.75576,                0.99916,                0.68821,                0.65791,                0.64841,                0.43365,                0.68278,                0.65158,                 0.6396,                0.41146,                0.75557,                0.97127,                0.70376,                0.89933,               0.009901,               0.009901,               0.009901
                      7,                0.80495,                 0.9916,                0.72255,                0.99789,                0.74225,                0.69521,                0.67733,                  0.456,                0.70993,                0.64782,                0.63435,                0.38599,                0.75122,                 1.1166,                0.71413,                0.89904,              0.0098812,              0.0098812,              0.0098812
                      8,                0.78528,                0.97375,                 0.6988,                0.99254,                0.74303,                0.69247,                0.68711,                0.45475,                0.71478,                0.67644,                0.67097,                0.40586,                0.73007,                 1.0039,                0.72954,                0.88944,              0.0098614,              0.0098614,              0.0098614
                      9,                0.78401,                0.98281,                0.69605,                 0.9902,                0.74817,                0.67577,                0.65935,                0.44037,                0.70461,                0.63642,                0.62381,                0.39953,                0.79715,                 1.0837,                0.64373,                0.91774,              0.0098416,              0.0098416,              0.0098416
                     10,                0.77022,                0.97934,                 0.6695,                0.98414,                0.69067,                 0.6367,                0.63713,                0.43379,                0.66112,                 0.6164,                 0.6116,                0.38638,                0.77723,                 1.1142,                0.73366,                0.92084,              0.0098218,              0.0098218,              0.0098218
                     11,                0.77658,                0.98409,                0.66615,                0.98827,                 0.7246,                 0.6988,                0.66765,                 0.4515,                0.71069,                 0.6842,                0.63327,                0.38908,                0.77107,                0.96339,                0.62708,                0.91524,               0.009802,               0.009802,               0.009802
                     12,                0.75599,                0.94594,                0.63902,                0.98223,                0.71725,                0.69851,                0.68271,                0.45614,                0.67877,                0.66025,                0.61928,                0.38909,                0.74081,                 0.9409,                0.62438,                0.90432,              0.0097822,              0.0097822,              0.0097822
                     13,                0.75978,                0.95811,                0.63718,                0.98639,                0.72996,                0.70039,                0.69913,                0.48746,                0.72401,                0.68096,                0.67219,                0.42445,                0.73542,                0.96142,                 0.5681,                0.89995,              0.0097624,              0.0097624,              0.0097624
                     14,                0.75638,                0.93332,                0.62267,                0.98245,                0.74502,                0.69565,                0.69892,                0.46983,                0.72476,                0.68073,                0.65935,                0.41528,                0.79724,                 0.9859,                 0.5889,                0.93654,              0.0097426,              0.0097426,              0.0097426
                     15,                0.74775,                0.96167,                0.62409,                0.98102,                0.74774,                0.71644,                0.68571,                 0.4669,                0.70721,                0.69044,                0.65613,                0.39835,                0.74169,                 1.0069,                0.58169,                0.89477,              0.0097228,              0.0097228,              0.0097228
                     16,                0.73725,                0.93127,                0.60883,                0.97371,                0.72203,                0.72636,                0.69734,                0.47889,                0.73162,                0.69802,                0.68306,                0.41816,                0.71157,                0.96137,                0.56816,                0.89285,               0.009703,               0.009703,               0.009703
                     17,                0.73982,                0.91623,                0.59829,                0.97726,                0.71408,                0.70315,                0.64713,                0.44284,                0.67865,                 0.6807,                0.62061,                0.39479,                 0.7929,                 1.1861,                0.65622,                0.94374,              0.0096832,              0.0096832,              0.0096832
                     18,                0.73611,                0.91943,                0.58795,                0.97439,                0.73452,                0.71782,                0.69759,                0.47394,                0.72108,                0.67382,                0.66398,                0.38607,                0.76079,                 1.0738,                0.57065,                0.91048,              0.0096634,              0.0096634,              0.0096634
                     19,                0.73156,                0.95094,                0.58238,                0.96667,                0.73083,                0.71878,                0.71758,                0.48745,                0.70501,                0.68006,                0.68365,                 0.4226,                0.72195,                0.97898,                0.54229,                0.89913,              0.0096436,              0.0096436,              0.0096436
                     20,                0.72979,                0.92703,                0.57248,                0.97149,                 0.8057,                0.71283,                0.69833,                0.47329,                0.76982,                0.69431,                0.66518,                0.40669,                0.72295,                 1.0147,                0.51356,                0.89565,              0.0096238,              0.0096238,              0.0096238
                     21,                0.70928,                 0.9068,                0.56398,                0.96647,                0.72967,                0.73237,                0.68957,                0.47922,                 0.7464,                0.67115,                0.65908,                 0.4162,                0.70342,                0.98576,                0.53821,                0.88555,               0.009604,               0.009604,               0.009604
                     22,                0.70955,                0.92451,                 0.5516,                0.96476,                0.79378,                0.71988,                0.70567,                0.48961,                 0.7717,                0.69807,                0.68499,                0.42222,                0.73529,                 1.0077,                0.53942,                0.91334,              0.0095842,              0.0095842,              0.0095842
                     23,                0.70141,                0.88918,                0.54115,                0.96293,                0.81851,                0.69426,                0.72583,                0.48404,                0.77641,                0.66143,                 0.6741,                0.42659,                0.75783,                 1.0936,                0.53345,                0.91776,              0.0095644,              0.0095644,              0.0095644
                     24,                0.69931,                0.88815,                0.53961,                0.97029,                0.77486,                0.73954,                0.72864,                0.49993,                0.74821,                0.68536,                0.68418,                0.43609,                 0.7022,                0.93655,                0.51369,                0.89914,              0.0095446,              0.0095446,              0.0095446
                     25,                0.69939,                0.88889,                0.53909,                0.96574,                 0.7557,                0.74519,                0.73027,                0.50662,                0.71126,                0.71184,                0.68797,                0.41975,                0.68596,                0.94945,                0.51243,                0.88171,              0.0095248,              0.0095248,              0.0095248
                     26,                 0.6944,                0.87807,                0.52916,                0.96026,                 0.7874,                0.72851,                0.73176,                0.50743,                0.75396,                0.69966,                 0.6887,                0.42194,                0.68683,                0.92107,                0.50795,                0.88634,               0.009505,               0.009505,               0.009505
                     27,                0.68038,                0.89146,                0.53341,                0.95523,                 0.7945,                0.71417,                0.72537,                0.50032,                 0.7544,                0.69076,                0.68962,                0.41498,                0.71848,                0.97796,                0.50455,                0.89818,              0.0094852,              0.0094852,              0.0094852
                     28,                0.69996,                0.90322,                0.53359,                0.96118,                 0.7744,                 0.7261,                0.71729,                0.49137,                0.73554,                0.66319,                0.63825,                0.40913,                 0.6849,                0.94941,                 0.5142,                0.87889,              0.0094654,              0.0094654,              0.0094654
                     29,                0.68738,                0.86144,                0.52433,                0.95421,                0.80121,                0.70234,                0.70516,                0.49628,                0.77142,                0.66754,                0.67628,                0.43062,                0.68934,                 1.0734,                0.53084,                0.89766,              0.0094456,              0.0094456,              0.0094456
                     30,                0.68491,                0.87974,                0.51042,                0.96391,                0.78863,                0.72907,                0.74408,                0.50021,                0.75961,                0.70682,                0.71121,                0.43194,                0.70526,                0.97345,                0.48784,                0.89809,              0.0094258,              0.0094258,              0.0094258
                     31,                0.68296,                0.86277,                0.51865,                0.95966,                0.79999,                0.72937,                0.73695,                 0.5172,                0.77301,                0.72228,                0.71225,                0.43784,                0.69579,                 1.0063,                0.48082,                 0.8901,               0.009406,               0.009406,               0.009406
                     32,                0.67821,                0.87444,                0.50947,                0.95642,                0.81463,                0.70704,                0.72893,                0.50949,                 0.7722,                 0.6815,                0.69297,                0.42666,                0.68397,                 1.0095,                0.50676,                0.89388,              0.0093862,              0.0093862,              0.0093862
                     33,                0.66919,                0.86537,                0.50959,                 0.9527,                0.76308,                0.72542,                0.72021,                0.49671,                0.72818,                0.71445,                0.69079,                0.43544,                0.69917,                0.97709,                0.48114,                0.88808,              0.0093664,              0.0093664,              0.0093664
                     34,                0.66224,                0.84981,                 0.5026,                0.96138,                0.78272,                0.74243,                0.73904,                 0.5129,                0.75007,                0.70978,                0.69967,                0.44093,                0.71355,                0.96555,                0.50397,                0.88544,              0.0093466,              0.0093466,              0.0093466
                     35,                0.66357,                0.82997,                0.49182,                0.95634,                0.83208,                0.71297,                0.73805,                0.48943,                0.77183,                0.66946,                0.66764,                 0.4138,                0.72148,                0.98639,                0.47222,                0.89098,              0.0093268,              0.0093268,              0.0093268
                     36,                0.67659,                 0.8644,                0.49741,                0.95265,                0.75928,                0.74746,                0.73456,                0.51329,                0.74325,                0.70502,                0.70841,                0.44068,                0.68674,                0.95107,                0.48494,                0.88493,               0.009307,               0.009307,               0.009307
                     37,                0.65774,                0.84851,                0.48005,                0.95704,                0.78545,                  0.751,                0.73912,                0.51165,                0.77433,                0.71554,                0.71843,                0.44203,                 0.7092,                0.97685,                0.47727,                0.89458,              0.0092872,              0.0092872,              0.0092872
                     38,                0.66486,                0.86763,                0.49665,                0.95257,                 0.8523,                0.70464,                0.73153,                0.50235,                0.82409,                0.68041,                0.70486,                0.42415,                0.68969,                0.92534,                0.45825,                0.88805,              0.0092674,              0.0092674,              0.0092674
                     39,                0.66413,                0.84851,                0.48452,                0.95733,                0.75836,                0.71837,                0.72021,                0.50141,                0.71945,                0.68678,                0.68738,                0.42933,                0.67068,                 1.0084,                0.49634,                0.87809,              0.0092476,              0.0092476,              0.0092476
                     40,                0.66921,                0.88207,                0.49081,                0.94805,                0.80646,                0.74569,                 0.7517,                0.52416,                0.80574,                0.69698,                0.71827,                0.45228,                0.68154,                0.89948,                  0.453,                0.88265,              0.0092278,              0.0092278,              0.0092278
                     41,                0.66187,                0.84981,                0.48811,                0.95179,                0.82076,                0.72278,                0.74138,                0.52623,                0.79259,                0.69295,                 0.7042,                0.44893,                0.68562,                0.92931,                0.47283,                 0.8889,               0.009208,               0.009208,               0.009208
                     42,                0.66586,                0.86324,                0.48167,                0.95348,                0.79411,                0.75767,                0.74184,                0.53823,                0.76427,                0.71946,                0.71107,                0.46367,                 0.6594,                0.94242,                 0.4345,                0.88343,              0.0091882,              0.0091882,              0.0091882
                     43,                0.64134,                 0.8565,                0.47128,                 0.9452,                0.84546,                0.72907,                0.75971,                0.54607,                0.80773,                0.70842,                0.73002,                0.46009,                0.65807,                0.91492,                0.44426,                0.87875,              0.0091684,              0.0091684,              0.0091684
                     44,                  0.642,                 0.8474,                0.47519,                0.94598,                0.83323,                0.74081,                0.74939,                0.52268,                0.80091,                0.69983,                0.71294,                 0.4496,                0.65954,                0.90956,                 0.4358,                0.87735,              0.0091486,              0.0091486,              0.0091486
                     45,                0.64475,                0.85894,                0.47293,                0.94341,                0.80168,                 0.7421,                0.75249,                0.54033,                0.77255,                0.71664,                0.72135,                0.45226,                0.67089,                0.93179,                 0.4363,                0.87807,              0.0091288,              0.0091288,              0.0091288
                     46,                0.63238,                  0.833,                  0.464,                0.94644,                0.80671,                0.74111,                0.73239,                0.51344,                0.77461,                0.69416,                0.68747,                0.43585,                0.66678,                0.89806,                0.44989,                0.87894,               0.009109,               0.009109,               0.009109
                     47,                0.64445,                0.85089,                0.46664,                0.94512,                0.80766,                 0.7491,                0.74918,                0.53468,                0.80091,                0.71822,                0.72909,                0.45659,                0.65876,                0.92278,                0.46677,                0.86993,              0.0090892,              0.0090892,              0.0090892
                     48,                0.63329,                0.82242,                0.45943,                0.94555,                0.82511,                0.71915,                0.74685,                0.53038,                0.79542,                0.68068,                0.70922,                 0.4463,                0.67187,                0.96647,                0.44885,                0.88573,              0.0090694,              0.0090694,              0.0090694
