                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85643,                 1.4849,                 2.8551,                0.98973,                0.98881,                0.22804,                0.36433,                0.28654,                0.99016,                0.22945,                0.36115,                0.26823,                0.84837,                 1.0908,                 2.1046,                0.87788,                0.07037,              0.0032922,              0.0032922
                      1,                 0.8366,                 1.1236,                 1.1613,                0.93562,                0.62698,                  0.554,                0.52677,                0.36898,                0.62165,                0.55323,                0.51996,                0.33269,                0.80763,                0.99353,                 1.0663,                0.89248,               0.040357,              0.0066124,              0.0066124
                      2,                0.88084,                  1.057,                0.98238,                0.94346,                0.54226,                0.58622,                0.54686,                0.36206,                0.51764,                0.55996,                0.52828,                0.34941,                0.82401,                 1.0394,                0.97112,                0.91652,               0.010331,              0.0099194,              0.0099194
                      3,                0.88239,                 1.0538,                0.90346,                0.96279,                0.69333,                0.63016,                0.62076,                0.39684,                0.64384,                0.58608,                0.56121,                0.34773,                0.93125,                 1.3291,                0.92958,                0.97592,              0.0099406,              0.0099406,              0.0099406
                      4,                0.86591,                 1.0477,                0.83994,                 0.9641,                0.66778,                0.60938,                 0.6052,                 0.3984,                0.61797,                0.58685,                0.54961,                0.33993,                0.92826,                 1.3492,                 0.8886,                0.96779,              0.0099406,              0.0099406,              0.0099406
                      5,                0.86141,                 1.0818,                0.81619,                0.95901,                0.66038,                0.61918,                0.62573,                0.41737,                0.64426,                0.61125,                0.61539,                0.39732,                0.85855,                 1.1932,                0.80063,                0.93721,              0.0099208,              0.0099208,              0.0099208
                      6,                0.86152,                 1.0352,                0.78403,                0.96121,                0.77176,                0.66412,                0.67439,                0.44796,                0.78372,                0.63705,                0.65059,                0.40125,                0.79842,                 1.0944,                0.70442,                0.91247,               0.009901,               0.009901,               0.009901
                      7,                 0.8389,                0.99884,                0.74508,                0.95097,                0.73521,                0.65747,                0.68621,                 0.4638,                0.74569,                0.60774,                0.64384,                0.40817,                0.80082,                 1.0653,                0.67016,                0.91707,              0.0098812,              0.0098812,              0.0098812
                      8,                0.83868,                 1.0215,                0.74532,                0.95227,                0.68733,                0.68119,                0.64938,                0.43058,                0.64772,                0.64462,                0.58569,                0.36964,                 0.7617,                 1.0966,                0.66117,                0.89495,              0.0098614,              0.0098614,              0.0098614
                      9,                0.82021,                0.95917,                0.70607,                0.93917,                0.78044,                0.70128,                0.67621,                0.45457,                0.75192,                0.67983,                0.66039,                0.40456,                0.75325,                 1.0344,                0.65602,                0.89785,              0.0098416,              0.0098416,              0.0098416
                     10,                0.79847,                0.98996,                  0.676,                 0.9407,                0.71451,                0.68673,                0.66155,                0.44294,                0.69773,                0.67464,                0.63239,                0.40607,                0.78337,                 1.0712,                0.63586,                0.90506,              0.0098218,              0.0098218,              0.0098218
                     11,                0.80522,                0.97807,                0.67192,                0.94008,                0.78706,                0.71152,                0.70379,                 0.4837,                0.76205,                0.69264,                0.66829,                0.41769,                0.73863,                0.97919,                0.57373,                0.88911,               0.009802,               0.009802,               0.009802
                     12,                0.80229,                0.99243,                0.64998,                0.94131,                0.76343,                0.69364,                0.69415,                 0.4798,                0.74315,                0.65196,                0.66274,                0.39685,                0.71752,                0.98714,                 0.5804,                 0.8856,              0.0097822,              0.0097822,              0.0097822
                     13,                0.79116,                0.98635,                0.64312,                0.93875,                0.76902,                0.68729,                0.69712,                  0.473,                 0.7661,                 0.6776,                0.69136,                0.42182,                0.75822,                 1.0022,                0.58197,                0.89608,              0.0097624,              0.0097624,              0.0097624
                     14,                0.77148,                0.94584,                0.63225,                 0.9341,                0.81437,                0.70068,                0.71165,                0.46537,                0.76875,                0.66828,                0.65135,                0.39545,                0.79535,                 1.0159,                0.55854,                0.90632,              0.0097426,              0.0097426,              0.0097426
                     15,                0.77421,                0.93696,                0.61837,                0.93475,                0.79437,                0.70754,                0.72984,                0.47264,                 0.7495,                0.67493,                0.68243,                0.40577,                0.75812,                 1.0075,                0.57223,                0.90091,              0.0097228,              0.0097228,              0.0097228
                     16,                0.76453,                0.93074,                0.59529,                0.92714,                0.78499,                0.71924,                0.73612,                0.48911,                0.76897,                0.71473,                0.72746,                0.43916,                0.76861,                0.96907,                0.59765,                0.89702,               0.009703,               0.009703,               0.009703
                     17,                0.76336,                0.96815,                0.60066,                0.92439,                0.81777,                0.70671,                0.73172,                0.50072,                0.81815,                 0.6686,                0.69678,                0.44148,                0.72248,                0.94784,                0.52293,                 0.8879,              0.0096832,              0.0096832,              0.0096832
                     18,                0.76074,                0.92185,                0.58455,                0.92495,                0.75938,                0.72571,                0.70031,                0.48543,                0.74009,                0.69551,                0.66459,                0.42239,                0.72318,                 1.0269,                0.53339,                0.88887,              0.0096634,              0.0096634,              0.0096634
                     19,                0.74791,                0.93801,                  0.582,                 0.9256,                0.76675,                0.71531,                0.70362,                0.47905,                0.74111,                0.68365,                0.66875,                0.42042,                0.70168,                 1.0155,                0.52178,                0.88489,              0.0096436,              0.0096436,              0.0096436
                     20,                0.74719,                0.95317,                0.57712,                0.91841,                0.78876,                0.69685,                0.70992,                0.49439,                0.80509,                0.65139,                0.68097,                0.41191,                0.70363,                0.99966,                0.53647,                0.89015,              0.0096238,              0.0096238,              0.0096238
                     21,                0.74384,                0.93483,                0.56668,                0.91891,                0.80277,                0.72056,                0.72158,                0.50251,                0.80034,                0.71764,                0.70841,                0.42704,                0.70582,                0.94963,                 0.5258,                0.88183,               0.009604,               0.009604,               0.009604
                     22,                0.73865,                0.90996,                 0.5559,                0.92072,                0.72807,                0.69368,                0.65926,                0.46505,                0.70132,                0.67347,                0.64052,                0.40951,                0.72921,                0.97629,                0.59172,                0.89876,              0.0095842,              0.0095842,              0.0095842
                     23,                0.72614,                0.90128,                0.55311,                0.91548,                0.79975,                0.72466,                 0.7303,                0.49443,                0.76897,                0.66106,                 0.6715,                0.41514,                0.69824,                0.94168,                0.49705,                0.87221,              0.0095644,              0.0095644,              0.0095644
                     24,                0.72897,                0.90385,                0.53174,                0.91307,                0.76325,                0.74188,                0.71799,                 0.4868,                 0.7261,                0.70042,                0.68618,                0.40957,                0.70638,                 0.9751,                0.50332,                0.88518,              0.0095446,              0.0095446,              0.0095446
                     25,                0.72355,                0.92834,                0.54112,                0.92001,                0.79548,                0.72883,                0.72535,                0.51334,                0.78552,                0.67248,                0.68988,                0.43152,                0.66627,                0.93187,                0.50871,                0.87013,              0.0095248,              0.0095248,              0.0095248
                     26,                0.71572,                0.87846,                0.53486,                 0.9132,                0.81047,                0.72034,                0.73649,                0.49304,                0.76441,                0.68787,                0.68409,                0.43099,                0.69357,                0.96649,                0.50401,                0.87733,               0.009505,               0.009505,               0.009505
                     27,                0.71377,                0.89691,                0.52343,                0.91094,                0.80299,                0.71187,                0.72952,                0.50469,                 0.7878,                0.66957,                0.68972,                0.44319,                0.71193,                0.96586,                0.50184,                0.88653,              0.0094852,              0.0094852,              0.0094852
                     28,                0.70521,                0.88047,                0.52126,                0.90796,                0.84906,                0.73008,                0.74036,                0.50344,                0.80005,                0.69611,                0.68646,                0.43741,                0.67197,                0.94659,                0.46947,                0.86672,              0.0094654,              0.0094654,              0.0094654
                     29,                0.70409,                0.88175,                0.51258,                0.90792,                0.83344,                0.73701,                 0.7212,                0.50365,                0.77965,                0.69433,                0.67463,                0.42905,                0.72434,                0.92866,                0.48962,                0.89484,              0.0094456,              0.0094456,              0.0094456
                     30,                 0.6948,                0.88516,                0.52074,                0.90365,                0.83196,                0.74247,                0.74327,                0.51094,                0.80979,                0.70657,                0.71569,                0.42345,                 0.7067,                0.94306,                0.49259,                0.89001,              0.0094258,              0.0094258,              0.0094258
                     31,                0.70187,                0.88391,                 0.5287,                 0.9113,                0.83479,                0.72311,                0.74226,                0.50888,                0.79209,                0.69554,                0.71317,                0.43961,                0.70054,                0.93549,                0.46693,                 0.8834,               0.009406,               0.009406,               0.009406
                     32,                0.69908,                0.86929,                0.50918,                0.90966,                0.81803,                0.74385,                0.73098,                0.50551,                0.79103,                0.66777,                0.66965,                0.41669,                0.69443,                 1.0121,                0.46184,                0.88109,              0.0093862,              0.0093862,              0.0093862
                     33,                0.68901,                0.87252,                0.51288,                0.90605,                0.80003,                0.71211,                0.73431,                0.50288,                 0.7538,                0.68745,                0.70002,                0.42615,                0.72435,                0.93241,                0.51781,                0.89543,              0.0093664,              0.0093664,              0.0093664
                     34,                0.68995,                0.87053,                 0.4932,                0.90227,                0.80984,                0.71204,                0.73584,                0.50854,                0.77902,                0.68338,                0.70533,                 0.4335,                0.69769,                0.91532,                0.48696,                0.88154,              0.0093466,              0.0093466,              0.0093466
                     35,                0.69236,                0.87118,                0.49876,                 0.9004,                0.77954,                0.73356,                0.71543,                0.50692,                 0.8027,                0.66113,                 0.6745,                0.43381,                0.68217,                0.97158,                0.46263,                0.87773,              0.0093268,              0.0093268,              0.0093268
                     36,                0.68582,                0.87508,                0.48586,                0.90354,                0.75789,                0.70801,                0.72307,                0.51679,                0.73089,                0.69501,                0.70374,                 0.4392,                0.65656,                0.96924,                0.47817,                0.87069,               0.009307,               0.009307,               0.009307
                     37,                0.68265,                0.84909,                0.48185,                0.90343,                0.85579,                0.72907,                0.75102,                0.51196,                0.80161,                0.70083,                0.71001,                0.44111,                0.68693,                0.96167,                0.46141,                0.88053,              0.0092872,              0.0092872,              0.0092872
                     38,                0.67727,                 0.8458,                0.47797,                 0.8994,                0.82701,                0.73367,                0.74963,                0.51927,                 0.7822,                0.69455,                0.70032,                0.43652,                0.70024,                 0.9278,                0.48722,                0.89757,              0.0092674,              0.0092674,              0.0092674
                     39,                0.67092,                0.84063,                0.47724,                0.89632,                0.83396,                0.70915,                0.73478,                0.51549,                0.77997,                0.68893,                0.67302,                0.43609,                0.67214,                0.87666,                0.44909,                0.87304,              0.0092476,              0.0092476,              0.0092476
                     40,                0.67785,                0.84974,                0.48263,                0.90132,                 0.8355,                0.72723,                0.74834,                0.51739,                0.78118,                0.69159,                0.68708,                0.44124,                0.65756,                0.95864,                0.46364,                0.87794,              0.0092278,              0.0092278,              0.0092278
                     41,                0.68037,                0.85798,                0.47456,                0.89983,                0.80342,                0.72959,                0.73887,                0.51141,                0.78065,                0.69088,                0.70068,                0.42793,                0.68642,                0.94704,                0.48185,                 0.8727,               0.009208,               0.009208,               0.009208
                     42,                0.67978,                 0.8449,                0.47966,                0.90144,                0.81303,                0.75121,                0.74901,                0.52974,                 0.7928,                0.73171,                0.71806,                0.46046,                0.67176,                0.92619,                0.43921,                0.87599,              0.0091882,              0.0091882,              0.0091882
                     43,                0.66819,                0.83716,                0.45707,                0.89386,                0.86183,                0.70457,                0.73707,                0.50896,                0.80025,                0.67367,                0.69059,                0.43514,                0.68448,                0.97901,                0.48345,                0.87577,              0.0091684,              0.0091684,              0.0091684
                     44,                0.66794,                0.84746,                0.47175,                0.89721,                0.83712,                0.70756,                 0.7249,                0.51404,                0.82462,                0.69621,                0.70918,                0.43713,                0.68861,                0.94743,                0.45729,                0.89742,              0.0091486,              0.0091486,              0.0091486
                     45,                 0.6696,                0.85357,                0.46428,                0.89948,                0.78801,                0.75328,                0.74518,                0.51883,                0.76537,                 0.6876,                0.69307,                0.43482,                 0.6902,                0.99448,                0.45125,                0.88751,              0.0091288,              0.0091288,              0.0091288
                     46,                0.66536,                0.83438,                0.45948,                0.89537,                0.80812,                0.69785,                0.72368,                 0.4958,                 0.7842,                0.65025,                0.67358,                0.44201,                0.68691,                 1.0275,                0.49026,                0.88607,               0.009109,               0.009109,               0.009109
                     47,                0.66055,                 0.8231,                0.45537,                0.89362,                0.83452,                0.73434,                0.74761,                0.50884,                0.79444,                0.69027,                0.69618,                0.44093,                0.67365,                0.91357,                0.45291,                0.87497,              0.0090892,              0.0090892,              0.0090892
                     48,                0.65217,                0.82345,                0.44571,                0.89347,                0.77695,                0.71862,                0.72759,                0.52178,                0.75356,                0.68475,                0.68847,                0.43648,                0.65314,                0.91331,                0.47181,                0.87394,              0.0090694,              0.0090694,              0.0090694
                     49,                0.65008,                0.81628,                0.44702,                0.89335,                0.75373,                0.71336,                0.72962,                0.50526,                0.71637,                0.65855,                0.67728,                0.43137,                0.68643,                  1.042,                0.51102,                0.87968,              0.0090496,              0.0090496,              0.0090496
                     50,                0.64577,                0.80569,                0.44415,                0.89545,                0.81122,                0.72373,                0.74421,                0.52042,                0.79658,                0.67962,                0.70652,                0.45415,                0.66254,                0.95719,                0.46134,                0.87376,              0.0090298,              0.0090298,              0.0090298
                     51,                0.64853,                 0.8392,                0.45171,                0.89617,                0.81598,                0.71619,                0.73326,                0.51752,                  0.803,                0.68983,                0.70795,                0.43511,                0.65704,                0.96725,                0.48177,                0.86789,                0.00901,                0.00901,                0.00901
                     52,                0.64828,                0.79847,                0.43925,                0.89326,                0.80229,                0.71651,                0.73559,                  0.522,                0.77618,                0.68866,                0.70374,                0.44731,                0.66857,                0.92426,                0.48598,                0.87233,              0.0089902,              0.0089902,              0.0089902
                     53,                 0.6434,                0.79789,                0.43999,                0.89192,                0.80549,                0.73232,                0.74352,                0.52734,                0.74625,                0.68941,                0.69898,                  0.448,                 0.6589,                0.99555,                0.47158,                0.88509,              0.0089704,              0.0089704,              0.0089704
                     54,                0.64585,                0.80323,                0.44321,                0.88926,                0.81624,                 0.7469,                0.73794,                0.52213,                0.78623,                0.72613,                0.71258,                0.44465,                0.67402,                0.95872,                0.42607,                0.87749,              0.0089506,              0.0089506,              0.0089506
                     55,                0.64844,                0.81393,                0.44546,                0.88859,                0.83337,                0.74147,                 0.7458,                0.53482,                0.79696,                0.70111,                0.69873,                0.45542,                0.64389,                0.94708,                0.46079,                0.86734,              0.0089308,              0.0089308,              0.0089308
                     56,                0.64018,                0.82009,                0.43572,                0.89179,                0.83756,                0.74095,                  0.756,                0.53805,                0.82756,                0.69947,                0.71702,                0.46364,                0.66628,                0.95503,                0.46171,                 0.8732,               0.008911,               0.008911,               0.008911
                     57,                0.64119,                0.80042,                0.43378,                0.88902,                0.84413,                0.71213,                0.74173,                0.52299,                 0.7724,                0.66591,                0.67908,                0.43581,                0.67288,                0.95707,                0.48627,                0.88105,              0.0088912,              0.0088912,              0.0088912
                     58,                 0.6337,                0.79794,                0.41979,                0.88878,                 0.8412,                0.72313,                0.74882,                0.52342,                0.81424,                0.68889,                0.71706,                0.43595,                0.67218,                 1.0186,                0.45406,                0.87876,              0.0088714,              0.0088714,              0.0088714
                     59,                0.63189,                0.79445,                0.42957,                0.88042,                0.82424,                0.72152,                0.74193,                0.52349,                0.80213,                0.68712,                0.69785,                0.43999,                0.66749,                0.96412,                0.46607,                0.87682,              0.0088516,              0.0088516,              0.0088516
                     60,                0.63913,                0.80387,                0.43596,                0.88866,                0.77656,                0.71954,                0.72677,                0.51605,                0.75948,                0.69113,                0.69495,                0.44336,                0.65141,                0.96671,                0.46139,                0.86758,              0.0088318,              0.0088318,              0.0088318
                     61,                0.62961,                 0.8114,                0.43383,                0.88822,                0.83382,                 0.7571,                0.75762,                0.52904,                0.82432,                0.73257,                0.73726,                0.45162,                0.65565,                0.90507,                0.42935,                0.86968,               0.008812,               0.008812,               0.008812
                     62,                0.62959,                0.80959,                0.43305,                0.88649,                0.83134,                0.71829,                0.73088,                0.52274,                0.79534,                 0.6907,                0.70297,                0.44049,                0.65487,                0.93715,                0.47733,                0.87349,              0.0087922,              0.0087922,              0.0087922
